season_end,player,age,gp,toi,teams
2013,Cory Conacher,23.0,12.0,02:34:10,OTT
2013,Derick Brassard,25.0,47.0,12:58:07,2TM
2013,Derick Brassard,25.0,34.0,09:21:52,CBJ
2013,Derick Brassard,25.0,13.0,03:36:15,NYR
2013,David Backes,28.0,48.0,15:41:20,STL
2013,Tyler Bozak,26.0,46.0,15:34:17,TOR
2013,Dustin Byfuglien,27.0,43.0,17:29:20,WPG
2013,David Desharnais,26.0,48.0,13:10:23,MTL
2013,Brendan Gallagher,20.0,44.0,10:09:58,MTL
2013,Dion Phaneuf,27.0,48.0,20:08:33,TOR
2013,Radim Vrbata,31.0,34.0,10:22:31,PHX
2013,Shea Weber,27.0,48.0,20:44:14,NSH
2013,Derek Roy,29.0,42.0,13:00:58,2TM
2013,Derek Roy,29.0,30.0,09:29:06,DAL
2013,Derek Roy,29.0,12.0,03:31:52,VAN
2013,Brian Campbell,33.0,48.0,21:08:00,FLA
2013,Matt Cullen,36.0,42.0,11:07:26,MIN
2013,Shane Doan,36.0,48.0,14:26:38,PHX
2013,Alex Galchenyuk,18.0,48.0,09:51:24,MTL
2013,Alex Goligoski,27.0,47.0,17:32:07,DAL
2013,Sergei Gonchar,38.0,45.0,17:59:41,OTT
2013,Jannik Hansen,26.0,47.0,13:45:04,VAN
2013,Jiří Hudler,29.0,42.0,12:00:41,CGY
2013,Duncan Keith,29.0,47.0,18:53:06,CHI
2013,Saku Koivu,38.0,47.0,13:47:13,ANA
2013,Tomáš Kopecký,30.0,47.0,13:51:13,FLA
2013,Mark Letestu,27.0,46.0,12:39:43,CBJ
2013,Milan Lucic,24.0,46.0,12:57:57,BOS
2013,Brandon Saad,20.0,46.0,12:37:13,CHI
2013,Justin Schultz,22.0,48.0,17:09:35,EDM
2013,Devin Setoguchi,26.0,48.0,11:33:03,MIN
2013,Alexander Steen,28.0,40.0,12:39:41,STL
2013,Mark Streit,35.0,48.0,18:40:40,NYI
2013,Alex Tanguay,33.0,40.0,12:54:22,CGY
2013,Marián Gáborík,30.0,47.0,14:30:25,2TM
2013,Marián Gáborík,30.0,35.0,10:53:30,NYR
2013,Marián Gáborík,30.0,12.0,03:36:55,CBJ
2013,Daniel Alfredsson,40.0,47.0,15:09:26,OTT
2013,Damien Brunner,26.0,44.0,11:25:54,DET
2013,Mikkel Bødker,23.0,48.0,14:46:53,PHX
2013,Brian Gionta,34.0,48.0,14:29:55,MTL
2013,Curtis Glencross,30.0,40.0,12:09:25,CGY
2013,Mike Green,27.0,35.0,14:29:53,WSH
2013,Brayden Schenn,21.0,47.0,12:09:52,PHI
2013,Patrik Berglund,24.0,48.0,13:27:46,STL
2013,David Legwand,32.0,48.0,14:44:26,NSH
2013,David Perron,24.0,48.0,14:24:20,STL
2013,Slava Voynov,23.0,48.0,17:50:30,LAK
2013,Brenden Morrow,34.0,44.0,10:53:56,2TM
2013,Brenden Morrow,34.0,29.0,07:12:49,DAL
2013,Brenden Morrow,34.0,15.0,03:41:07,PIT
2013,François Beauchemin,32.0,48.0,18:45:59,ANA
2013,Alexandre Burrows,31.0,47.0,14:48:38,VAN
2013,David Clarkson,28.0,48.0,14:04:27,NJD
2013,Cody Eakin,21.0,48.0,12:04:04,DAL
2013,Oliver Ekman-Larsson,21.0,48.0,20:04:37,PHX
2013,Carl Hagelin,24.0,48.0,13:50:33,NYR
2013,Dan Hamhuis,30.0,47.0,18:19:20,VAN
2013,Ryan Nugent-Hopkins,19.0,40.0,12:34:37,EDM
2013,Kyle Okposo,24.0,48.0,13:33:53,NYI
2013,Steve Ott,30.0,48.0,14:50:47,BUF
2013,Alex Pietrangelo,23.0,47.0,19:40:18,STL
2013,Matt Read,26.0,42.0,12:36:44,PHI
2013,Teemu Selänne,42.0,46.0,12:01:51,ANA
2013,Jeff Skinner,20.0,42.0,12:55:28,CAR
2013,Paul Stastny,27.0,40.0,12:54:16,COL
2013,Martin Erat,31.0,45.0,13:26:28,2TM
2013,Martin Erat,31.0,36.0,11:21:14,NSH
2013,Martin Erat,31.0,9.0,02:05:14,WSH
2013,Bryan Bickell,26.0,48.0,10:14:40,CHI
2013,Andrew Cogliano,25.0,48.0,12:17:41,ANA
2013,Martin Hanzal,25.0,39.0,12:03:05,PHX
